,State,County,FIPS,Democratic,Republican,Party
0,NV,eureka,32011,0.0,7651.34553174246,0
1,TX,zavala,48507,0.0,6809.363916030523,1
2,VA,king george,51099,15865.879422798118,17191.141193099207,0
3,OH,hamilton,39061,177700.87445259906,111876.79480208365,1
4,TX,austin,48015,6284.7671666883725,5966.756744070575,0
5,MI,barry,26015,7924.9882763608475,14937.5404803533,0
6,NM,valencia,35061,5802.446614528846,19764.88234839231,0
7,TX,ellis,48139,30229.203560175247,30165.389192103365,0
8,NJ,mercer,34021,95125.70892294006,51286.47939615221,1
9,PA,cambria,42021,27184.204504517547,29535.542605226554,0
10,IN,switzerland,18155,0.0,537.019971187703,0
11,NV,lander,32015,0.0,16150.633370777748,0
12,NE,cherry,31031,0.0,7806.062455282923,0
13,VA,radford city,51750,5609.394275124669,4154.888979283558,1
14,FL,lee,12071,146088.2927009728,98375.51064803044,0
15,MI,arenac,26011,0.0,3990.5768734349986,0
16,TX,shackelford,48417,6134.989798703991,0.0,0
17,NJ,gloucester,34015,66041.23044855954,61820.856185718876,0
18,OH,trumbull,39155,38960.51008981031,36809.22976408052,0
19,OH,lawrence,39087,6936.085940215064,17423.540397449913,0
20,ND,burke,38013,0.0,4537.63707725104,0
21,TX,hardeman,48197,0.0,0.0,0
22,NE,keya paha,31103,0.0,0.0,0
23,VA,norton city,51720,339.89041691929015,5722.905458572235,0
24,ND,bowman,38011,362.2578439584213,7661.89207661004,0
25,UT,duchesne,49013,0.0,9754.793307974922,0
26,MN,carlton,27017,4985.760636366591,11269.217139392407,0
27,FL,okaloosa,12091,45091.77873831288,36051.9018149358,1
28,TX,oldham,48359,1259.6287574911512,777.1615697682828,0
29,MT,lewis and clark,30049,28468.61162695899,22317.63593126553,0
30,NY,rockland,36087,83888.69400713532,55851.32736008099,1
31,TX,waller,48473,3180.930675831114,0.0,0
32,VA,falls church city,51610,63612.86356254238,30012.73884833765,1
33,PA,potter,42105,0.0,1140.177657330525,0
34,MI,gratiot,26057,0.0,8879.82409482221,0
35,MI,shiawassee,26155,5984.522379683891,17735.933765477206,0
36,MN,polk,27119,6161.218390321435,11469.558842203915,0
37,ND,billings,38007,5797.883617205211,6699.87317557493,0
38,ND,mckenzie,38053,0.0,7080.660701908511,0
39,WY,weston,56045,0.0,6663.056818075935,0
40,MT,jefferson,30043,14610.513727077232,7126.569792566921,0
41,VT,bennington,50003,22123.63903467456,12498.526188285297,1
42,FL,clay,12019,40622.75806727505,37508.191972432236,1
43,AZ,yuma,4027,32357.60233125224,24036.51868394197,0
44,TX,terrell,48443,790.4080589518126,0.0,0
45,MA,bristol,25005,121554.27686029866,82706.14122336025,1
46,WV,webster,54101,337.362333068344,1617.4052633853862,0
47,TX,collingsworth,48087,0.0,0.0,0
48,NY,chautauqua,36013,25690.6410229979,25173.636710540133,0
49,TN,fayette,47047,12257.472549626307,8191.966816500239,0
50,TX,bandera,48019,11004.405109824796,7857.621368930133,0
51,NJ,union,34039,123031.26986278554,66391.38481838645,1
52,TX,sherman,48421,5212.921951137403,0.0,0
53,NY,seneca,36099,8158.360867575389,10341.666864198613,0
54,TX,martin,48317,0.0,2539.7803568569143,0
55,UT,tooele,49045,3267.7331400079383,23233.671028714893,0
56,MD,talbot,24041,27016.328824288998,17785.21972370086,0
57,FL,highlands,12055,19625.39222160094,25589.328453250204,0
58,IN,gibson,18051,0.0,10718.564339190338,0
59,MD,allegany,24001,11005.66654229566,19402.17592288107,0
60,MI,mecosta,26107,4757.945119136053,10116.639117870274,0
61,TX,jasper,48241,0.0,5287.839831666448,0
62,DE,new castle,10003,125150.93523995181,80160.6965876676,1
63,VA,warren,51187,8022.5603957409,17715.15718400266,0
64,OH,ashtabula,39007,13145.579699832475,19667.047978785213,0
65,WV,ohio,54069,17849.76644358799,14564.905668421401,1
66,NM,bernalillo,35001,142731.30902651092,94873.85902722066,1
67,FL,calhoun,12013,0.0,1539.51842142631,0
68,NM,torrance,35057,0.0,0.0,0
69,UT,box elder,49003,2058.243326414453,18054.988249519804,0
70,FL,columbia,12023,8575.152738041841,10540.40245209131,0
71,TX,edwards,48137,8144.94379568809,0.0,0
72,MI,iron,26071,2224.696204611606,5065.469487584824,0
73,IN,bartholomew,18005,23187.880251829796,13395.235017406609,1
74,MT,treasure,30103,0.0,0.0,0
75,FL,liberty,12077,0.0,0.0,0
76,WV,brooke,54009,4254.827137768007,13142.12712886134,0
77,TX,ward,48475,0.0,13862.438274911816,0
78,WA,skamania,53059,4608.3665913891455,0.0,0
79,VA,caroline,51033,6107.180305175152,4147.145978599077,0
80,VA,floyd,51063,5205.195448714239,3530.161884971807,0
81,MI,dickinson,26043,6812.288015291808,13879.035249583794,0
82,MA,dukes,25007,25030.42314389413,9879.38150879247,0
83,MT,richland,30083,0.0,13349.887195283573,0
84,TX,trinity,48455,0.0,3989.3015781019094,0
85,TN,clay,47027,3980.547061232988,0.0,0
86,NE,howard,31093,0.0,2379.8234130099554,0
87,WV,putnam,54079,14869.354552344646,19347.63307491213,0
88,WY,laramie,56021,20490.69988812266,28129.21379059575,0
89,VT,lamoille,50015,20523.740924865884,0.0,1
90,WI,green,55045,7699.898809240611,11763.368767259642,0
91,TX,childress,48075,0.0,572.6013895282922,0
92,MA,hampden,25013,98788.9889113098,71023.14284753262,1
93,FL,hardee,12049,0.0,162.83322960452278,0
94,OH,allen,39003,14998.325851593865,22606.123716996135,0
95,NM,colfax,35007,0.0,9069.148848227655,0
96,NV,pershing,32027,0.0,0.0,0
97,WI,vilas,55125,13298.257874189789,3416.277809686886,0
98,TX,gillespie,48171,20112.839421429162,14959.214793492518,0
99,WV,cabell,54011,25302.837339173133,19897.174461409097,0
100,TX,cameron,48061,77558.35024641448,49936.09977404913,1
101,MI,clare,26035,0.0,10317.466706097488,0
102,UT,davis,49011,72027.96134592376,61743.08335700605,0
103,NY,dutchess,36027,72516.5769979142,50992.69648561654,0
104,TX,motley,48345,0.0,5810.47098445046,0
105,VA,henrico,51087,85463.74690250977,44735.525672235846,1
106,MN,grant,27051,0.0,5499.216841926338,0
107,VA,rappahannock,51157,18746.47381762646,2834.3481076638127,0
108,NM,taos,35055,10349.098569579957,6249.122370566225,1
109,TX,smith,48423,46544.80056669674,31109.671510974757,0
110,MN,yellow medicine,27173,0.0,6601.182491589907,1
111,MN,pipestone,27117,1681.0943141092757,7668.572108758628,0
112,TX,somervell,48425,1161.4975057873235,0.0,0
113,IN,benton,18007,0.0,0.0,0
114,WV,hampshire,54027,1218.3638407876715,0.0,0
115,PA,columbia,42037,12232.85822264842,16740.10568264942,0
116,TX,ector,48135,19425.89510092108,29907.10323551632,0
117,MD,howard,24027,102985.05424295896,57509.8225829537,1
118,TN,jefferson,47089,8106.354704115642,13537.283260343149,0
119,VA,manassas city,51683,15411.28422603758,2261.42899892716,1
120,MN,scott,27139,42099.30458907886,37722.995334767926,1
121,PA,northampton,42095,66471.97735831607,54910.06346158017,1
122,TN,fentress,47049,2672.485528821544,0.0,0
123,TN,dyer,47045,7300.49836917932,9927.414515081078,0
124,WI,burnett,55013,2116.150704536114,2184.7931318587143,0
125,NJ,monmouth,34025,149742.39498421137,102834.10088859322,1
126,IN,brown,18013,8285.26705951574,7273.932682837527,0
127,TX,chambers,48071,5639.147144573133,12788.29265101688,0
128,VA,roanoke city,51770,23284.303381678765,12485.622311246549,1
129,NY,putnam,36079,37481.40698043072,38270.03674199575,0
130,NM,san juan,35045,16254.815633996668,19523.28915862073,0
131,WY,crook,56011,0.0,5696.148369495555,0
132,MI,ingham,26065,68796.74565143161,38183.62333130455,0
133,TN,obion,47131,5366.565095043759,8186.366561890389,0
134,PA,franklin,42055,30870.50809904945,33011.414288518274,0
135,MT,lake,30047,8618.24838324483,0.0,0
136,UT,cache,49005,28021.82316030487,20187.762030982616,1
137,OH,fayette,39047,0.0,9063.095978341426,0
138,VA,accomack,51001,9572.012001317833,0.0,0
139,FL,pasco,12101,101372.61465371781,73899.95138565761,0
140,NY,nassau,36059,298346.5045507391,196325.73400126531,1
141,ND,towner,38095,0.0,3355.3318533600323,0
142,IN,kosciusko,18085,16163.747647510934,18930.22275123079,0
143,NE,colfax,31037,0.0,0.0,0
144,TX,frio,48163,0.0,6114.0191014504235,0
145,MT,madison,30057,8808.66463310904,729.0945628029513,0
146,WA,island,53029,24594.53592365269,21067.51428260395,0
147,TX,andrews,48003,0.0,17440.69307013504,0
148,TN,hardin,47071,3236.0460339718775,11107.857694921042,0
149,NE,dundy,31057,0.0,0.0,0
150,VA,chesapeake city,51550,54083.138234062746,42822.261150430866,1
151,NE,hayes,31085,0.0,0.0,0
152,TX,parmer,48369,0.0,0.0,0
153,NE,buffalo,31019,15469.962086463109,13296.384994236465,1
154,PA,carbon,42025,8684.93937461021,19685.63135651658,0
155,NJ,atlantic,34001,60434.69576651443,38338.620568453705,1
156,TX,kimble,48267,1628.021470863263,13151.918322668811,0
157,NE,seward,31159,5494.541953809494,13088.703791059444,0
158,OH,lake,39085,52121.581778384556,46213.67281032949,0
159,TX,tom green,48451,20077.851623786322,23509.360396904493,0
